Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Демʼянюк,Соломія,Назарівна,Жінка,1977-10-13,Паблік рилейшнз,хутір Старий Самбір,"провулок Новоселів, буд. 28, Луцьк, 49492",021 561-77-26,bohodar57@example.org
Іванченко,Юхим,Святославович,Чоловік,1971-08-05,Кур'єр,місто Вознесенівка,"проспект Восьмого березня, буд. 428 кв. 46, Горохів, 64742",190-03-02,khrystyna00@example.org
Демʼянюк,Златослава,Павлівна,Жінка,1973-11-22,Шериф,селище Оріхів,"парк Вершинна, буд. 920, Жашків, 09582",048 877-23-60,kolodubmariia@example.com
Лавренко,Степан,Степанович,Чоловік,1959-12-24,Реабілітолог,село Тараща,"набережна Осипова, буд. 0, Щолкіне, 45159",062 129 54 39,ustymhunko@example.net
Шеремет,Одарка,Олександрівна,Жінка,2002-12-12,Електромонтажник,хутір Буськ,"парк Верф’яний, буд. 94, Алушта, 07551",598-89-67,nadiiaandriiovych@example.org
Худобʼяк,Ярина,Максимівна,Жінка,1979-09-30,Продюсер,село Борщів,"вулиця Рибальський, буд. 6, Родинське, 88212",+380 28 217-70-91,andriiovychdanna@example.com
Гайворонський,Нестор,Костянтинович,Чоловік,1970-07-04,Складальник,село Новоселиця,"узвіз Савицький, буд. 879, Вільнянськ, 78521",042 142 57 41,pushkarihnat@example.net
Палій,Клавдія,Євгенівна,Жінка,1954-12-25,Продюсер,село Красноград,"набережна Бахчева, буд. 28 кв. 66, Деражня, 76346",329-29-07,parmencherinko@example.com
Гаврилів,Віра,Павлівна,Жінка,1938-11-23,Історик,місто Івано-Франківськ,"парк Ліверпульський, буд. 097, Стебник, 21907",+380 20 729-50-76,dchumachenko@example.org
Штепа,Пармен,Степанович,Чоловік,1985-05-18,Фізик,село Керч,"набережна Корнюшина, буд. 53 кв. 782, Василівка , 95365",027 805-54-43,vasylshvaika@example.com
Башполченко,Йосип,Романович,Чоловік,1947-11-27,Гірник,село Нововолинськ,"парк Героїв оборони Одеси, буд. 52 кв. 77, Миколаїв, 74053",086 513-52-83,iarema53@example.net
Швачко,Оксенія,Павлівна,Жінка,1960-04-18,Хімік,хутір Валки ,"шосе Степний 2-й, буд. 09, Боково-Хрустальне, 90300",+380 (06) 940-80-05,ielysavetadeineko@example.com
Скопенко,Данна,Ярославівна,Жінка,1984-04-12,Нотаріус,місто Чуднів,"шосе Азербайджан, буд. 619 кв. 488, Балаклія, 51430",+380 34 469-55-85,rbarabash@example.com
Харченко,Тереза,Олександрівна,Жінка,1939-01-29,Зоолог,хутір Сквира,"провулок Леваневського, буд. 8, Довжанськ, 90253",+380 51 583-24-28,oliinykhavrylo@example.net
Швачко,Демид,Ілліч,Чоловік,2001-11-07,Піаніст,селище Острог,"узвіз Косовський, буд. 3 кв. 556, Андрушівка, 08406",346 03 23,devdiukteodor@example.org
Євтушенко,Руслан,Тарасович,Чоловік,1948-11-29,Патологоанатом,місто Нікополь,"проспект Віри Холодної, буд. 41 кв. 04, Судова Вишня, 47823",005 70 94,nestorchervonenko@example.net
Москаль,Анжела,Романівна,Жінка,1962-04-26,Кінорежисер,хутір Копичинці,"сквер Килимовий, буд. 2 кв. 9, Гірське, 92399",+380 20 872-88-39,valentyna79@example.org
Вернигора,Теодор,Костянтинович,Чоловік,1938-05-05,Етнограф,хутір Кагарлик,"набережна 12-та Суворовська, буд. 19 кв. 0, Гнівань, 82879",+380 85 400 89 29,halyna22@example.net
Швачко,Алевтин,Тарасович,Чоловік,1957-12-21,Графік,місто Волочиськ,"проспект Новікова 2-га, буд. 81, Кам'янка-Дніпровська, 80840",059 163 60 02,mykolaikorolenko@example.com
Юрченко,Анжела,Іллівна,Жінка,1941-12-31,Стиліст,хутір Білгород-Дністровський,"сквер Прохоровська, буд. 6 кв. 138, Токмак, 69686",079 86 05,tiurchenko@example.net
Остапчук,Ольга,Анатоліївна,Жінка,1973-06-27,Няня,місто Сулимівка (Слов'янськ),"шосе Чорноморський, буд. 9 кв. 19, Козятин, 96198",+380 96 070-84-31,cgalagan@example.com
Ярош,Демид,Назарович,Чоловік,1989-05-15,Стропальник,село Донецьк,"площа Восьмого березня 4-й, буд. 608 кв. 828, Ізяслав, 77535",+380 (73) 016-63-09,vivcharenkoaaron@example.net
Ващенко,Тарас,Степанович,Чоловік,2003-11-25,Петрограф,село Городенка,"парк Світлий, буд. 5, Ржищів, 28725",882 22 59,klavdiia51@example.com
Журба,Богодар,Максимович,Чоловік,1991-11-24,Електротехнік,хутір Кобеляки,"парк Черепанових, буд. 870 кв. 41, Алупка, 81671",021 727-51-55,stanislavshynkarenko@example.net
Коваленко,Данна,Павлівна,Жінка,1957-11-21,Водій,місто Добропілля,"вулиця Кутова, буд. 010, Новоукраїнка, 88483",+380 (23) 074-42-60,livasiuk@example.com
Бабич,Людмила,Олександрівна,Жінка,1981-05-23,Кінолог,селище Березань ,"сквер Пісочний, буд. 6 кв. 3, Корюківка, 84458",+380 28 762-52-19,jmasliak@example.org
Аронець,Трохим,Назарович,Чоловік,1980-11-06,Золотар,місто Христинівка,"набережна Шкільний, буд. 41, Надвірна, 89518",011 521-34-02,borysfranko@example.com
Симоненко,Мартин,Святославович,Чоловік,1964-04-30,Ді-джей,село Теребовля,"узвіз Красна, буд. 0 кв. 24, Обухів, 63916",+380 66 190-67-62,khomatychyna@example.org
Шамрай,Оксенія,Анатоліївна,Жінка,1974-01-29,Антрополог,село Арциз,"провулок Романтичний, буд. 16, Буринь, 11001",249-46-39,demyd02@example.org
Корпанюк,Зиновій,Максимович,Чоловік,1985-12-01,Детектив,селище Яготин,"вулиця Розумовський 2-й, буд. 1 кв. 8, Гайворон, 85166",094 588 27 15,viacheslavbazylevska@example.org
Вдовиченко,Аарон,Святославович,Чоловік,1940-02-13,Електротехнік,село Дніпро ,"площа Сурикова, буд. 7, Арциз, 83090",+380 84 658-47-30,oryna60@example.com
Вакуленко,Анастасія,Степанівна,Жінка,2002-09-28,Машиніст,село Христинівка,"сквер Проектований 4-й, буд. 371 кв. 77, Прилуки, 29636",005 256-83-93,tetiana67@example.net
Джунь,Лілія,Юріївна,Жінка,1980-01-17,Краєзнавець,хутір Хорол ,"набережна Махачкалинська, буд. 612, Бурштин , 71019",497-82-00,yivanychuk@example.org
Гайдай,Святослав,Назарович,Чоловік,1971-07-10,Астроном,місто Вільногірськ,"сквер Північний, буд. 6 кв. 147, Київ, 56128",034 220-68-91,tkharchenko@example.net
Ляшко,Алевтин,Романович,Чоловік,1991-06-14,Слідчий,селище Шостка,"вулиця Балківська, буд. 6, Вільнянськ, 22029",+380 08 864 09 32,cshovkoplias@example.org
Ванченко,Нестор,Олександрович,Чоловік,1975-05-05,Головний меркшейдер,село Сокаль,"вулиця Аркаса Миколи, буд. 8, Гадяч, 22525",+380 97 867-92-79,boryslavpetliura@example.com
Савенко,Олена,Павлівна,Жінка,1980-12-12,Швачка,місто Маріуполь,"сквер Віри Фігнер, буд. 8, Горохів, 44434",+380 45 765-89-27,lukian06@example.net
Аверченко,Ліза,Максимівна,Жінка,1993-09-28,Кінорежисер,хутір Бершадь,"шосе Побратимів, буд. 517, Бобровиця, 35150",+380 61 722 38 05,valerii09@example.com
Кащенко,Данило,Назарович,Чоловік,1952-08-16,Євнух,село Довжанськ,"узвіз 3-тя Суворовська, буд. 54 кв. 406, Надвірна, 35200",+380 60 332 06 91,nikoliukillia@example.org
Ґерус,Богуслава,Романівна,Жінка,1996-02-17,Палеонтолог,селище Голубівка,"проспект Одеса-Головна, буд. 00, Камінь-Каширський, 43002",414 78 63,markodevdiuk@example.com
Жук,Сніжана,Іллівна,Жінка,1995-11-20,Складальник,хутір Біла Церква,"сквер Селищна, буд. 0 кв. 25, Зугрес, 10660",889 21 91,pprokopovych@example.org
Ґалаґан,Богуслав,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,2005-03-16,Стиліст,місто Сніжне,"узвіз Тираспольська, буд. 7 кв. 94, Жовті Води, 31897",599 12 44,nadiia25@example.net
Чаленко,Ліза,Данилівна,Жінка,1952-11-29,Гінеколог,хутір Вижниця,"сквер Тролейбусна, буд. 5, Шахтарськ, 51701",+380 78 143 80 70,alina25@example.com
Сагаль,Владислав,Романович,Чоловік,1957-09-21,Випробувач,хутір Галич,"площа Студена, буд. 969, Донецьк, 86505",291-73-46,rozaliiakovalenko@example.org
Ткач,Ігнат,Ярославович,Чоловік,1943-03-28,Хореограф,місто Бровари,"набережна Алмазна, буд. 517, Дунаївці, 97367",+380 (90) 164-00-80,viktor81@example.org
Оліфіренко,Віктор,Святославович,Чоловік,1968-06-01,Ді-джей,хутір Рожище,"набережна Соціальна, буд. 4 кв. 51, Новодністровськ, 39939",927 58 26,bkozak@example.com
Лубенець,Соломія,Данилівна,Жінка,1963-02-16,Державний службовець,село Білицьке,"проспект Ліверпульський, буд. 813, Ірміно, 44724",776-89-90,zhuravelsnizhana@example.net
Сірченко,Софія,Назарівна,Жінка,1982-02-06,Педагог,хутір Чорноморськ,"шосе Восьмого Березня Лінія 4-та, буд. 0, Токмак, 50214",+380 (77) 415-51-78,lesykbohdan@example.org
Дараган,Тетяна,Максимівна,Жінка,1943-06-06,Електротехнік,селище Курахове,"сквер Бузковий 2-й, буд. 4 кв. 051, Теплодар, 80822",044 757 28 84,okseniiamedvedenko@example.org
Гупало,Марина,Назарівна,Жінка,1969-11-03,Гицель,селище Довжанськ,"набережна Стеценко, буд. 417 кв. 033, Старокостянтинів, 78111",+380 75 372 41 34,volodymyrfesenko@example.org
Ященко,Лукʼян,Святославович,Чоловік,1967-10-23,Фармацевт,хутір Герца,"провулок Чорноморський 11-й, буд. 34 кв. 842, Красноград, 13150",+380 87 488-52-93,izhaktetiana@example.com
Філіпенко,Панас,Степанович,Чоловік,1997-09-24,Сценарист,село Бершадь,"сквер Єврейська, буд. 1, Кагарлик, 14807",+380 17 748-76-96,tereza97@example.net
Яремко,Ірина,Олександрівна,Жінка,1967-02-10,Антрополог,селище Кадіївка,"парк Бородінська, буд. 32, Кипуче, 54865",+380 (19) 932-28-49,derehusfeofan@example.com
Черненко,Вікторія,Юріївна,Жінка,1958-08-16,Єгер,хутір Хоростків,"площа Парковий, буд. 378, Тернопіль, 10810",077 036-58-33,borys60@example.com
Ажажа,Святослава,Павлівна,Жінка,1971-06-10,Музикант,селище Олександрія,"проспект Танфільєва, буд. 2, Сторожинець, 86601",+380 (63) 565-12-70,heorhii22@example.org
Панчук,Гордій,Степанович,Чоловік,1984-12-19,Співак,хутір Сміла,"набережна Гранатна, буд. 91 кв. 4, Болехів, 17955",067 123-02-97,jlupii@example.org
Скорик,Камілла,Павлівна,Жінка,1968-10-03,Зоолог,селище Андрушівка,"площа Бузковий, буд. 7 кв. 7, Ківерці, 14538",073 145 34 04,xdanylenko@example.com
Макогон,Сергій,Степанович,Чоловік,1979-11-20,Патологоанатом,хутір Голубівка,"вулиця Басейний 3-й, буд. 50, Сновськ, 64981",081 096-98-29,dzhunarkadii@example.org
Шеремета,Прохір,Тарасович,Чоловік,1971-07-05,Водій,хутір Васильків,"парк Композитора Ніщинського, буд. 446, Сквира, 24639",+380 69 995 92 94,maksym84@example.org
Павленко,Ірена,Романівна,Жінка,1956-03-17,Науковець,село Антрацит ,"проспект Тепличний 2-й, буд. 4, Копичинці, 58570",008 767-62-71,iriaboshapka@example.org
Єрошенко,Кирило,Святославович,Чоловік,1971-02-18,Кінорежисер,хутір Ковель,"шосе Матеріальний 1-й, буд. 9 кв. 988, Зіньків, 44442",024 493-83-12,averchenkoanastasiia@example.com
Лукаш,Варфоломій,Павлович,Чоловік,1986-11-24,Електромонтер,місто Тараща,"набережна Пересипський 1-й, буд. 376 кв. 450, Щолкіне, 84014",147 70 82,artymyshyndaryna@example.com
Примаченко,Дмитро,Степанович,Чоловік,1945-05-17,Водій,хутір Кропивницький,"вулиця Пляжна, буд. 721, Сарни, 45136",+380 16 835 25 11,albert80@example.com
Христич,Олесь,Костянтинович,Чоловік,1980-10-19,Пілот,місто Новодружеськ,"парк Байкал тупик, буд. 504, Вугледар, 04802",046-20-18,mariana59@example.com
Авраменко,Галина,Павлівна,Жінка,1984-10-15,Художник,селище Дніпро ,"площа Жоліо-Кюрі, буд. 24 кв. 091, Ніжин, 88812",+380 (69) 486-31-12,viacheslav81@example.net
Сиротенко,Назар,Ілліч,Чоловік,1992-04-09,Головний меркшейдер,селище Жидачів,"узвіз Озерна, буд. 83 кв. 12, Гайсин, 05810",+380 (34) 296-16-54,mykytiukleopold@example.org
Христич,Костянтин,Назарович,Чоловік,1998-11-27,Круп'є,хутір Кам'янське,"вулиця Сурикова 1-й, буд. 8 кв. 5, Саки , 81757",+380 92 300-01-83,olha24@example.org
Закусило,Валентина,Назарівна,Жінка,1997-06-03,Конструктор,селище Карлівка,"площа Єліна, буд. 51 кв. 6, Боково-Хрустальне, 76273",508 80 92,okhrimmiroshnychenko@example.com
Сагаль,Данило,Тарасович,Чоловік,1953-04-17,Сценарист,селище Тернопіль,"парк Світла, буд. 47, Сніжне, 33086",039 987 61 27,stefandotsenko@example.net
Яремчук,Маруся,Ярославівна,Жінка,1988-04-21,Дантист,селище Керч,"шосе Горбиста, буд. 29, Молодогвардійськ, 24983",+380 25 347 84 04,cbashtan@example.org
Аверченко,Франц,Максимович,Чоловік,1939-12-11,Фізик,місто Попасна,"набережна Літакова, буд. 8, Вугледар, 62537",485 06 00,jsaienko@example.com
Чумак,Болеслав,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1949-09-10,Публіцист,селище Чортків,"проспект 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 7 кв. 8, Миколаївка , 04003",445 85 17,davydenkoolha@example.com
Кибкало,Марта,Павлівна,Жінка,1994-06-09,Намотувальник,селище Зеленодольськ,"площа Пантелеймонівська, буд. 0, Щолкіне, 43222",072 283-33-83,orobetsopanas@example.com
Яременко,Соломія,Ярославівна,Жінка,2000-09-28,Геолог,місто Моршин,"набережна Банний, буд. 9, Балта, 29663",033-13-23,albina39@example.net
Матяш,Орест,Максимович,Чоловік,1992-08-03,Геолог,хутір Одеса,"шосе Кладовищний, буд. 15 кв. 5, Голубівка, 32156",011 751 91 95,hryhoriihaidenko@example.net
Бевзенко,Ярема,Романович,Чоловік,1966-12-15,Біолог,хутір Білопілля,"проспект Тимірязєва, буд. 0, Почаїв, 96621",729 70 03,viktorpelekh@example.com
Туркало,Михайлина,Данилівна,Жінка,2007-09-27,Актор,хутір Дергачі,"проспект Болгарська, буд. 780 кв. 38, Чернівці, 02531",+380 (79) 080-41-27,iskopenko@example.org
Єрченко,Лілія,Максимівна,Жінка,1982-11-29,Мовознавець,село Рахів,"сквер Олександра Невського 5-й, буд. 98 кв. 441, Погребище, 26866",+380 95 800 56 48,bohodarchaika@example.com
Верменич,Олександр,Назарович,Чоловік,1973-04-23,Диригент,селище Гадяч,"площа Лазурний 6-й, буд. 3 кв. 8, Саки , 93167",403-85-24,lkovalenko@example.com
Ґереґа,Соломія,Павлівна,Жінка,2003-01-06,Маркетолог,село Володимир-Волинський,"проспект Вєтрова, буд. 98 кв. 37, Сновськ, 95910",+380 30 363-99-82,saienkoerika@example.com
Скоробогатько,Ігнат,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1947-05-24,Мовознавець,місто Ізюм,"узвіз Вокзальний, буд. 452 кв. 6, Шепетівка, 91808",+380 29 456-03-49,parmenshylo@example.net
Килимник,Альбіна,Романівна,Жінка,1969-08-29,Бізнесмен,село Зеленодольськ,"парк Нафтовиків 3-й, буд. 23 кв. 3, Харків, 51461",+380 06 924-53-66,shyianvasyl@example.net
Шевченко,Петро,Павлович,Чоловік,1965-12-21,Намотувальник,село Чернівці,"площа Михайлівська, буд. 2, Лутугине, 86644",+380 20 058 99 67,viterandrii@example.org
Непорожній,Віктор,Степанович,Чоловік,1972-12-02,Ботанік,хутір Тернопіль,"узвіз Старицького, буд. 9 кв. 752, Рава-Руська, 72618",746 88 30,hermanandriievych@example.com
Ніколюк,Спас,Максимович,Чоловік,1983-03-27,Електротехнік,хутір Перещепине,"парк Миколи Бажана, буд. 73 кв. 9, Зоринськ, 75679",+380 (23) 958-93-44,mariia77@example.com
